trip_id,start_time,end_time,usertype,bikeid,tripduration,from_station_id,from_station_name,to_station_id,to_station_name,gender,birthyear,day_of_week,ride_length_minutes
22066951,2019-03-16 17:58:08.000000 UTC,2019-03-16 18:13:17.000000 UTC,Customer,1218,909.0,2,Buckingham Fountain (Temp),2,Buckingham Fountain (Temp),,,7,15
21759125,2019-01-04 14:10:54.000000 UTC,2019-01-04 14:38:56.000000 UTC,Customer,5272,1682.0,2,Buckingham Fountain (Temp),2,Buckingham Fountain (Temp),,,6,28
22072010,2019-03-17 17:14:04.000000 UTC,2019-03-17 17:39:33.000000 UTC,Customer,2099,1529.0,2,Buckingham Fountain (Temp),2,Buckingham Fountain (Temp),,,1,25
22144948,2019-03-27 13:52:50.000000 UTC,2019-03-27 14:23:15.000000 UTC,Customer,2194,1825.0,2,Buckingham Fountain (Temp),2,Buckingham Fountain (Temp),,,4,30
21992551,2019-03-03 16:42:20.000000 UTC,2019-03-03 17:05:35.000000 UTC,Customer,3789,1395.0,2,Buckingham Fountain (Temp),2,Buckingham Fountain (Temp),,,1,23
22156026,2019-03-28 13:32:47.000000 UTC,2019-03-28 14:00:48.000000 UTC,Customer,3199,1681.0,2,Buckingham Fountain (Temp),2,Buckingham Fountain (Temp),Female,2000,5,28
22045540,2019-03-13 17:22:58.000000 UTC,2019-03-13 17:50:24.000000 UTC,Customer,3388,1646.0,2,Buckingham Fountain (Temp),2,Buckingham Fountain (Temp),,,4,27
22176549,2019-03-31 14:04:19.000000 UTC,2019-03-31 15:15:42.000000 UTC,Customer,2025,4283.0,2,Buckingham Fountain (Temp),2,Buckingham Fountain (Temp),,,1,71
22123529,2019-03-24 14:47:43.000000 UTC,2019-03-24 16:09:28.000000 UTC,Customer,3190,4905.0,2,Buckingham Fountain (Temp),2,Buckingham Fountain (Temp),,,1,81
21992551,2019-03-03 16:42:20.000000 UTC,2019-03-03 17:05:35.000000 UTC,Customer,3789,1395.0,2,Buckingham Fountain (Temp),2,Buckingham Fountain (Temp),,,1,23
22148542,2019-03-27 17:42:19.000000 UTC,2019-03-27 17:56:37.000000 UTC,Subscriber,2293,858.0,2,Buckingham Fountain (Temp),2,Buckingham Fountain (Temp),Male,1994,4,14
21779616,2019-01-07 21:26:28.000000 UTC,2019-01-07 22:26:57.000000 UTC,Customer,4457,3629.0,2,Buckingham Fountain (Temp),2,Buckingham Fountain (Temp),,,2,60
22148863,2019-03-27 17:56:49.000000 UTC,2019-03-27 18:48:14.000000 UTC,Subscriber,397,3085.0,2,Buckingham Fountain (Temp),2,Buckingham Fountain (Temp),Male,1994,4,51
21779615,2019-01-07 21:25:55.000000 UTC,2019-01-07 22:26:57.000000 UTC,Customer,93,3662.0,2,Buckingham Fountain (Temp),2,Buckingham Fountain (Temp),,,2,61
22085901,2019-03-19 14:39:19.000000 UTC,2019-03-19 15:03:42.000000 UTC,Customer,2242,1463.0,2,Buckingham Fountain (Temp),2,Buckingham Fountain (Temp),,,3,24
22027690,2019-03-11 14:58:50.000000 UTC,2019-03-11 15:16:50.000000 UTC,Customer,3790,1080.0,2,Buckingham Fountain (Temp),2,Buckingham Fountain (Temp),,,2,18
21765030,2019-01-05 12:17:13.000000 UTC,2019-01-05 13:51:05.000000 UTC,Customer,3079,5632.0,2,Buckingham Fountain (Temp),2,Buckingham Fountain (Temp),,,7,93
